repo,scenario,type,system,oracle_files,file_tp,file_fp,file_fn
talkai,TBL-account,table,naive_edit,67,0,1,67
talkai,TBL-account,table,lexical,67,3,4,64
talkai,TBL-account,table,static,67,67,0,0
talkai,TBL-account,table,uce,67,67,7,0
talkai,COL-account-access_token,column,naive_edit,67,0,1,67
talkai,COL-account-access_token,column,lexical,67,8,7,59
talkai,COL-account-access_token,column,static,67,67,0,0
talkai,COL-account-access_token,column,uce,67,67,0,0
talkai,COL-account-access_token_expires_at,column,naive_edit,67,0,1,67
talkai,COL-account-access_token_expires_at,column,lexical,67,8,17,59
talkai,COL-account-access_token_expires_at,column,static,67,67,0,0
talkai,COL-account-access_token_expires_at,column,uce,67,67,0,0
talkai,TBL-agents,table,naive_edit,61,0,1,61
talkai,TBL-agents,table,lexical,61,19,6,42
talkai,TBL-agents,table,static,61,61,0,0
talkai,TBL-agents,table,uce,61,61,14,0
talkai,COL-agents-created_at,column,naive_edit,0,0,1,0
talkai,COL-agents-created_at,column,lexical,0,0,5,0
talkai,COL-agents-created_at,column,static,0,0,0,0
talkai,COL-agents-created_at,column,uce,0,0,67,0
talkai,COL-agents-id,column,naive_edit,61,0,1,61
talkai,COL-agents-id,column,lexical,61,13,12,48
talkai,COL-agents-id,column,static,61,61,0,0
talkai,COL-agents-id,column,uce,61,61,11,0
talkai,TBL-meetings,table,naive_edit,61,0,1,61
talkai,TBL-meetings,table,lexical,61,22,3,39
talkai,TBL-meetings,table,static,61,61,0,0
talkai,TBL-meetings,table,uce,61,61,13,0
talkai,COL-meetings-agent_id,column,naive_edit,57,0,1,57
talkai,COL-meetings-agent_id,column,lexical,57,13,12,44
talkai,COL-meetings-agent_id,column,static,57,57,0,0
talkai,COL-meetings-agent_id,column,uce,57,57,10,0
talkai,COL-meetings-created_at,column,naive_edit,0,0,1,0
talkai,COL-meetings-created_at,column,lexical,0,0,5,0
talkai,COL-meetings-created_at,column,static,0,0,0,0
talkai,COL-meetings-created_at,column,uce,0,0,67,0
talkai,TBL-session,table,naive_edit,67,0,1,67
talkai,TBL-session,table,lexical,67,17,4,50
talkai,TBL-session,table,static,67,67,0,0
talkai,TBL-session,table,uce,67,67,5,0
talkai,COL-session-created_at,column,naive_edit,67,0,1,67
talkai,COL-session-created_at,column,lexical,67,8,17,59
talkai,COL-session-created_at,column,static,67,67,0,0
talkai,COL-session-created_at,column,uce,67,67,0,0
talkai,COL-session-expires_at,column,naive_edit,67,0,1,67
talkai,COL-session-expires_at,column,lexical,67,8,17,59
talkai,COL-session-expires_at,column,static,67,67,0,0
talkai,COL-session-expires_at,column,uce,67,67,0,0
talkai,TBL-user,table,naive_edit,57,0,1,57
talkai,TBL-user,table,lexical,57,11,14,46
talkai,TBL-user,table,static,57,57,0,0
talkai,TBL-user,table,uce,57,57,20,0
talkai,COL-user-created_at,column,naive_edit,0,0,1,0
talkai,COL-user-created_at,column,lexical,0,0,5,0
talkai,COL-user-created_at,column,static,0,0,0,0
talkai,COL-user-created_at,column,uce,0,0,67,0
talkai,COL-user-email,column,naive_edit,0,0,1,0
talkai,COL-user-email,column,lexical,0,0,5,0
talkai,COL-user-email,column,static,0,0,0,0
talkai,COL-user-email,column,uce,0,0,69,0
talkai,TBL-verification,table,naive_edit,67,0,1,67
talkai,TBL-verification,table,lexical,67,1,1,66
talkai,TBL-verification,table,static,67,67,0,0
talkai,TBL-verification,table,uce,67,67,5,0
talkai,COL-verification-created_at,column,naive_edit,67,0,1,67
talkai,COL-verification-created_at,column,lexical,67,8,17,59
talkai,COL-verification-created_at,column,static,67,67,0,0
talkai,COL-verification-created_at,column,uce,67,67,0,0
talkai,COL-verification-expires_at,column,naive_edit,67,0,1,67
talkai,COL-verification-expires_at,column,lexical,67,8,17,59
talkai,COL-verification-expires_at,column,static,67,67,0,0
talkai,COL-verification-expires_at,column,uce,67,67,0,0
talkai,FIL-src_lib_utils.ts,file,naive_edit,144,1,0,143
talkai,FIL-src_lib_utils.ts,file,lexical,144,25,0,119
talkai,FIL-src_lib_utils.ts,file,static,144,144,0,0
talkai,FIL-src_lib_utils.ts,file,uce,144,133,0,11
talkai,FIL-src_components_ui_button.tsx,file,naive_edit,83,1,0,82
talkai,FIL-src_components_ui_button.tsx,file,lexical,83,22,3,61
talkai,FIL-src_components_ui_button.tsx,file,static,83,83,0,0
talkai,FIL-src_components_ui_button.tsx,file,uce,83,72,0,11
talkai,FIL-src_trpc_client.tsx,file,naive_edit,42,1,0,41
talkai,FIL-src_trpc_client.tsx,file,lexical,42,16,9,26
talkai,FIL-src_trpc_client.tsx,file,static,42,42,0,0
talkai,FIL-src_trpc_client.tsx,file,uce,42,42,0,0
talkai,FIL-src_components_ui_input.tsx,file,naive_edit,36,1,0,35
talkai,FIL-src_components_ui_input.tsx,file,lexical,36,14,11,22
talkai,FIL-src_components_ui_input.tsx,file,static,36,36,0,0
talkai,FIL-src_components_ui_input.tsx,file,uce,36,36,0,0
talkai,FIL-src_components_generated-avatar.tsx,file,naive_edit,31,1,0,30
talkai,FIL-src_components_generated-avatar.tsx,file,lexical,31,14,10,17
talkai,FIL-src_components_generated-avatar.tsx,file,static,31,31,0,0
talkai,FIL-src_components_generated-avatar.tsx,file,uce,31,31,0,0
talkai,FIL-src_lib_auth-client.ts,file,naive_edit,37,1,0,36
talkai,FIL-src_lib_auth-client.ts,file,lexical,37,14,11,23
talkai,FIL-src_lib_auth-client.ts,file,static,37,37,0,0
talkai,FIL-src_lib_auth-client.ts,file,uce,37,32,0,5
melodi,TBL-badges,table,naive_edit,21,1,0,20
melodi,TBL-badges,table,lexical,21,3,0,18
melodi,TBL-badges,table,static,21,21,0,0
melodi,TBL-badges,table,uce,21,21,18,0
melodi,COL-badges-description,column,naive_edit,21,1,0,20
melodi,COL-badges-description,column,lexical,21,3,4,18
melodi,COL-badges-description,column,static,21,21,0,0
melodi,COL-badges-description,column,uce,21,21,3,0
melodi,COL-badges-icon,column,naive_edit,21,1,0,20
melodi,COL-badges-icon,column,lexical,21,3,7,18
melodi,COL-badges-icon,column,static,21,21,0,0
melodi,COL-badges-icon,column,uce,21,21,4,0
melodi,TBL-drawings,table,naive_edit,4,0,1,4
melodi,TBL-drawings,table,lexical,4,2,2,2
melodi,TBL-drawings,table,static,4,4,0,0
melodi,TBL-drawings,table,uce,4,4,33,0
melodi,COL-drawings-created_at,column,naive_edit,0,0,1,0
melodi,COL-drawings-created_at,column,lexical,0,0,5,0
melodi,COL-drawings-created_at,column,static,0,0,0,0
melodi,COL-drawings-created_at,column,uce,0,0,21,0
melodi,COL-drawings-data_json,column,naive_edit,0,0,1,0
melodi,COL-drawings-data_json,column,lexical,0,0,5,0
melodi,COL-drawings-data_json,column,static,0,0,0,0
melodi,COL-drawings-data_json,column,uce,0,0,21,0
melodi,TBL-hotspots,table,naive_edit,7,0,1,7
melodi,TBL-hotspots,table,lexical,7,3,4,4
melodi,TBL-hotspots,table,static,7,7,0,0
melodi,TBL-hotspots,table,uce,7,7,34,0
melodi,COL-hotspots-created_at,column,naive_edit,7,0,1,7
melodi,COL-hotspots-created_at,column,lexical,7,1,6,6
melodi,COL-hotspots-created_at,column,static,7,7,0,0
melodi,COL-hotspots-created_at,column,uce,7,7,14,0
melodi,COL-hotspots-expires_at,column,naive_edit,0,0,1,0
melodi,COL-hotspots-expires_at,column,lexical,0,0,5,0
melodi,COL-hotspots-expires_at,column,static,0,0,0,0
melodi,COL-hotspots-expires_at,column,uce,0,0,21,0
melodi,TBL-markers,table,naive_edit,7,0,1,7
melodi,TBL-markers,table,lexical,7,3,4,4
melodi,TBL-markers,table,static,7,7,0,0
melodi,TBL-markers,table,uce,7,7,33,0
melodi,COL-markers-created_at,column,naive_edit,7,0,1,7
melodi,COL-markers-created_at,column,lexical,7,1,6,6
melodi,COL-markers-created_at,column,static,7,7,0,0
melodi,COL-markers-created_at,column,uce,7,7,14,0
melodi,COL-markers-hotspot_id,column,naive_edit,7,0,1,7
melodi,COL-markers-hotspot_id,column,lexical,7,2,5,5
melodi,COL-markers-hotspot_id,column,static,7,7,0,0
melodi,COL-markers-hotspot_id,column,uce,7,7,14,0
melodi,TBL-objects,table,naive_edit,2,0,1,2
melodi,TBL-objects,table,lexical,2,2,0,0
melodi,TBL-objects,table,static,2,2,0,0
melodi,TBL-objects,table,uce,2,2,35,0
melodi,COL-objects-created_at,column,naive_edit,0,0,1,0
melodi,COL-objects-created_at,column,lexical,0,0,5,0
melodi,COL-objects-created_at,column,static,0,0,0,0
melodi,COL-objects-created_at,column,uce,0,0,21,0
melodi,COL-objects-hotspot_id,column,naive_edit,2,0,1,2
melodi,COL-objects-hotspot_id,column,lexical,2,0,2,2
melodi,COL-objects-hotspot_id,column,static,2,2,0,0
melodi,COL-objects-hotspot_id,column,uce,2,2,19,0
melodi,TBL-unlocked_models,table,naive_edit,10,0,1,10
melodi,TBL-unlocked_models,table,lexical,10,2,8,8
melodi,TBL-unlocked_models,table,static,10,10,0,0
melodi,TBL-unlocked_models,table,uce,10,10,26,0
melodi,COL-unlocked_models-id,column,naive_edit,10,0,1,10
melodi,COL-unlocked_models-id,column,lexical,10,2,8,8
melodi,COL-unlocked_models-id,column,static,10,10,0,0
melodi,COL-unlocked_models-id,column,uce,10,10,26,0
melodi,COL-unlocked_models-model_id,column,naive_edit,10,0,1,10
melodi,COL-unlocked_models-model_id,column,lexical,10,1,9,9
melodi,COL-unlocked_models-model_id,column,static,10,10,0,0
melodi,COL-unlocked_models-model_id,column,uce,10,10,11,0
melodi,TBL-user_badges,table,naive_edit,21,1,0,20
melodi,TBL-user_badges,table,lexical,21,13,8,8
melodi,TBL-user_badges,table,static,21,21,0,0
melodi,TBL-user_badges,table,uce,21,21,0,0
melodi,COL-user_badges-badge_id,column,naive_edit,21,1,0,20
melodi,COL-user_badges-badge_id,column,lexical,21,10,11,11
melodi,COL-user_badges-badge_id,column,static,21,21,0,0
melodi,COL-user_badges-badge_id,column,uce,21,21,0,0
melodi,COL-user_badges-earned_at,column,naive_edit,21,1,0,20
melodi,COL-user_badges-earned_at,column,lexical,21,7,14,14
melodi,COL-user_badges-earned_at,column,static,21,21,0,0
melodi,COL-user_badges-earned_at,column,uce,21,21,0,0
melodi,TBL-user_stats,table,naive_edit,21,1,0,20
melodi,TBL-user_stats,table,lexical,21,12,9,9
melodi,TBL-user_stats,table,static,21,21,0,0
melodi,TBL-user_stats,table,uce,21,21,0,0
melodi,COL-user_stats-drawings_created,column,naive_edit,21,1,0,20
melodi,COL-user_stats-drawings_created,column,lexical,21,11,10,10
melodi,COL-user_stats-drawings_created,column,static,21,21,0,0
melodi,COL-user_stats-drawings_created,column,uce,21,21,0,0
melodi,COL-user_stats-hotspots_created,column,naive_edit,21,1,0,20
melodi,COL-user_stats-hotspots_created,column,lexical,21,12,9,9
melodi,COL-user_stats-hotspots_created,column,static,21,21,0,0
melodi,COL-user_stats-hotspots_created,column,uce,21,21,0,0
melodi,TBL-users,table,naive_edit,10,0,1,10
melodi,TBL-users,table,lexical,10,4,6,6
melodi,TBL-users,table,static,10,10,0,0
melodi,TBL-users,table,uce,10,10,34,0
melodi,COL-users-created_at,column,naive_edit,10,0,1,10
melodi,COL-users-created_at,column,lexical,10,0,10,10
melodi,COL-users-created_at,column,static,10,10,0,0
melodi,COL-users-created_at,column,uce,10,10,11,0
melodi,COL-users-email,column,naive_edit,10,0,1,10
melodi,COL-users-email,column,lexical,10,3,7,7
melodi,COL-users-email,column,static,10,10,0,0
melodi,COL-users-email,column,uce,10,10,12,0
melodi,FIL-lib_db_user-queries.ts,file,naive_edit,10,1,0,9
melodi,FIL-lib_db_user-queries.ts,file,lexical,10,4,6,6
melodi,FIL-lib_db_user-queries.ts,file,static,10,10,0,0
melodi,FIL-lib_db_user-queries.ts,file,uce,10,10,0,0
melodi,FIL-types_index.ts,file,naive_edit,14,1,0,13
melodi,FIL-types_index.ts,file,lexical,14,3,7,11
melodi,FIL-types_index.ts,file,static,14,14,0,0
melodi,FIL-types_index.ts,file,uce,14,9,0,5
melodi,FIL-lib_models.ts,file,naive_edit,20,1,0,19
melodi,FIL-lib_models.ts,file,lexical,20,10,6,10
melodi,FIL-lib_models.ts,file,static,20,20,0,0
melodi,FIL-lib_models.ts,file,uce,20,9,0,11
melodi,FIL-ui_index.ts,file,naive_edit,12,1,0,11
melodi,FIL-ui_index.ts,file,lexical,12,3,7,9
melodi,FIL-ui_index.ts,file,static,12,12,0,0
melodi,FIL-ui_index.ts,file,uce,12,9,0,3
melodi,FIL-app_api_auth_[...nextauth]_route.ts,file,naive_edit,7,1,0,6
melodi,FIL-app_api_auth_[...nextauth]_route.ts,file,lexical,7,1,6,6
melodi,FIL-app_api_auth_[...nextauth]_route.ts,file,static,7,7,0,0
melodi,FIL-app_api_auth_[...nextauth]_route.ts,file,uce,7,7,0,0
melodi,FIL-lib_db_hotspot-queries.ts,file,naive_edit,7,1,0,6
melodi,FIL-lib_db_hotspot-queries.ts,file,lexical,7,3,4,4
melodi,FIL-lib_db_hotspot-queries.ts,file,static,7,7,0,0
melodi,FIL-lib_db_hotspot-queries.ts,file,uce,7,7,0,0
expenses,TBL-expenses,table,naive_edit,1,0,1,1
expenses,TBL-expenses,table,lexical,1,0,1,1
expenses,TBL-expenses,table,static,1,1,0,0
expenses,TBL-expenses,table,uce,1,1,8,0
expenses,COL-expenses-cost,column,naive_edit,1,0,1,1
expenses,COL-expenses-cost,column,lexical,1,0,1,1
expenses,COL-expenses-cost,column,static,1,1,0,0
expenses,COL-expenses-cost,column,uce,1,1,8,0
expenses,COL-expenses-date,column,naive_edit,1,0,1,1
expenses,COL-expenses-date,column,lexical,1,0,1,1
expenses,COL-expenses-date,column,static,1,1,0,0
expenses,COL-expenses-date,column,uce,1,1,8,0
expenses,FIL-src_react-app_types.ts,file,naive_edit,8,1,0,7
expenses,FIL-src_react-app_types.ts,file,lexical,8,4,1,4
expenses,FIL-src_react-app_types.ts,file,static,8,8,0,0
expenses,FIL-src_react-app_types.ts,file,uce,8,8,0,0
expenses,FIL-src_react-app_utils.ts,file,naive_edit,7,1,0,6
expenses,FIL-src_react-app_utils.ts,file,lexical,7,4,0,3
expenses,FIL-src_react-app_utils.ts,file,static,7,7,0,0
expenses,FIL-src_react-app_utils.ts,file,uce,7,7,0,0
expenses,FIL-src_react-app_App.tsx,file,naive_edit,2,1,0,1
expenses,FIL-src_react-app_App.tsx,file,lexical,2,1,1,1
expenses,FIL-src_react-app_App.tsx,file,static,2,2,0,0
expenses,FIL-src_react-app_App.tsx,file,uce,2,2,0,0
expenses,FIL-src_react-app_ExpenseRow.tsx,file,naive_edit,4,1,0,3
expenses,FIL-src_react-app_ExpenseRow.tsx,file,lexical,4,2,0,2
expenses,FIL-src_react-app_ExpenseRow.tsx,file,static,4,4,0,0
expenses,FIL-src_react-app_ExpenseRow.tsx,file,uce,4,4,0,0
expenses,FIL-src_react-app_pages_AddExpensePage.tsx,file,naive_edit,3,1,0,2
expenses,FIL-src_react-app_pages_AddExpensePage.tsx,file,lexical,3,2,0,1
expenses,FIL-src_react-app_pages_AddExpensePage.tsx,file,static,3,3,0,0
expenses,FIL-src_react-app_pages_AddExpensePage.tsx,file,uce,3,3,0,0
expenses,FIL-src_react-app_pages_ExpensesListPage.tsx,file,naive_edit,3,1,0,2
expenses,FIL-src_react-app_pages_ExpensesListPage.tsx,file,lexical,3,2,0,1
expenses,FIL-src_react-app_pages_ExpensesListPage.tsx,file,static,3,3,0,0
expenses,FIL-src_react-app_pages_ExpensesListPage.tsx,file,uce,3,3,0,0
spark,TBL-announcements,table,naive_edit,24,0,0,24
spark,TBL-announcements,table,lexical,24,7,2,17
spark,TBL-announcements,table,static,24,24,0,0
spark,TBL-announcements,table,uce,24,24,40,0
spark,COL-announcements-content,column,naive_edit,24,0,0,24
spark,COL-announcements-content,column,lexical,24,10,14,14
spark,COL-announcements-content,column,static,24,24,0,0
spark,COL-announcements-content,column,uce,24,24,38,0
spark,COL-announcements-created_at,column,naive_edit,24,0,0,24
spark,COL-announcements-created_at,column,lexical,24,8,16,16
spark,COL-announcements-created_at,column,static,24,24,0,0
spark,COL-announcements-created_at,column,uce,24,24,38,0
spark,TBL-assignment_submissions,table,naive_edit,7,0,0,7
spark,TBL-assignment_submissions,table,lexical,7,6,1,1
spark,TBL-assignment_submissions,table,static,7,7,0,0
spark,TBL-assignment_submissions,table,uce,7,7,57,0
spark,COL-assignment_submissions-assignment_id,column,naive_edit,7,0,0,7
spark,COL-assignment_submissions-assignment_id,column,lexical,7,3,4,4
spark,COL-assignment_submissions-assignment_id,column,static,7,7,0,0
spark,COL-assignment_submissions-assignment_id,column,uce,7,7,55,0
spark,COL-assignment_submissions-feedback,column,naive_edit,7,0,0,7
spark,COL-assignment_submissions-feedback,column,lexical,7,6,1,1
spark,COL-assignment_submissions-feedback,column,static,7,7,0,0
spark,COL-assignment_submissions-feedback,column,uce,7,7,55,0
spark,TBL-assignments,table,naive_edit,62,0,0,62
spark,TBL-assignments,table,lexical,62,8,0,54
spark,TBL-assignments,table,static,62,62,0,0
spark,TBL-assignments,table,uce,62,62,3,0
spark,COL-assignments-course_id,column,naive_edit,62,0,0,62
spark,COL-assignments-course_id,column,lexical,62,22,3,40
spark,COL-assignments-course_id,column,static,62,62,0,0
spark,COL-assignments-course_id,column,uce,62,62,1,0
spark,COL-assignments-created_at,column,naive_edit,62,0,0,62
spark,COL-assignments-created_at,column,lexical,62,16,9,46
spark,COL-assignments-created_at,column,static,62,62,0,0
spark,COL-assignments-created_at,column,uce,62,62,0,0
spark,TBL-course_materials,table,naive_edit,6,0,0,6
spark,TBL-course_materials,table,lexical,6,1,5,5
spark,TBL-course_materials,table,static,6,6,0,0
spark,TBL-course_materials,table,uce,6,6,110,0
spark,COL-course_materials-content,column,naive_edit,6,0,0,6
spark,COL-course_materials-content,column,lexical,6,1,5,5
spark,COL-course_materials-content,column,static,6,6,0,0
spark,COL-course_materials-content,column,uce,6,6,56,0
spark,COL-course_materials-course_id,column,naive_edit,6,0,0,6
spark,COL-course_materials-course_id,column,lexical,6,0,6,6
spark,COL-course_materials-course_id,column,static,6,6,0,0
spark,COL-course_materials-course_id,column,uce,6,6,57,0
spark,TBL-course_sections,table,naive_edit,62,0,0,62
spark,TBL-course_sections,table,lexical,62,25,0,37
spark,TBL-course_sections,table,static,62,62,0,0
spark,TBL-course_sections,table,uce,62,62,1,0
spark,COL-course_sections-course_id,column,naive_edit,62,0,0,62
spark,COL-course_sections-course_id,column,lexical,62,23,2,39
spark,COL-course_sections-course_id,column,static,62,62,0,0
spark,COL-course_sections-course_id,column,uce,62,62,1,0
spark,COL-course_sections-created_at,column,naive_edit,62,0,0,62
spark,COL-course_sections-created_at,column,lexical,62,20,5,42
spark,COL-course_sections-created_at,column,static,62,62,0,0
spark,COL-course_sections-created_at,column,uce,62,62,0,0
spark,TBL-courses,table,naive_edit,62,0,0,62
spark,TBL-courses,table,lexical,62,25,0,37
spark,TBL-courses,table,static,62,62,0,0
spark,TBL-courses,table,uce,62,62,4,0
spark,COL-courses-code,column,naive_edit,62,0,0,62
spark,COL-courses-code,column,lexical,62,25,0,37
spark,COL-courses-code,column,static,62,62,0,0
spark,COL-courses-code,column,uce,62,62,1,0
spark,COL-courses-created_at,column,naive_edit,62,0,0,62
spark,COL-courses-created_at,column,lexical,62,19,6,43
spark,COL-courses-created_at,column,static,62,62,0,0
spark,COL-courses-created_at,column,uce,62,62,0,0
spark,TBL-discussion_likes,table,naive_edit,7,0,0,7
spark,TBL-discussion_likes,table,lexical,7,5,2,2
spark,TBL-discussion_likes,table,static,7,7,0,0
spark,TBL-discussion_likes,table,uce,7,7,56,0
spark,COL-discussion_likes-created_at,column,naive_edit,7,0,0,7
spark,COL-discussion_likes-created_at,column,lexical,7,1,6,6
spark,COL-discussion_likes-created_at,column,static,7,7,0,0
spark,COL-discussion_likes-created_at,column,uce,7,7,55,0
spark,COL-discussion_likes-id,column,naive_edit,7,0,0,7
spark,COL-discussion_likes-id,column,lexical,7,2,5,5
spark,COL-discussion_likes-id,column,static,7,7,0,0
spark,COL-discussion_likes-id,column,uce,7,7,56,0
spark,TBL-discussion_posts,table,naive_edit,62,0,0,62
spark,TBL-discussion_posts,table,lexical,62,8,0,54
spark,TBL-discussion_posts,table,static,62,62,0,0
spark,TBL-discussion_posts,table,uce,62,62,2,0
spark,COL-discussion_posts-author_id,column,naive_edit,62,0,0,62
spark,COL-discussion_posts-author_id,column,lexical,62,19,6,43
spark,COL-discussion_posts-author_id,column,static,62,62,0,0
spark,COL-discussion_posts-author_id,column,uce,62,62,0,0
spark,COL-discussion_posts-content,column,naive_edit,62,0,0,62
spark,COL-discussion_posts-content,column,lexical,62,16,9,46
spark,COL-discussion_posts-content,column,static,62,62,0,0
spark,COL-discussion_posts-content,column,uce,62,62,0,0
spark,TBL-discussion_replies,table,naive_edit,62,0,0,62
spark,TBL-discussion_replies,table,lexical,62,8,0,54
spark,TBL-discussion_replies,table,static,62,62,0,0
spark,TBL-discussion_replies,table,uce,62,62,1,0
spark,COL-discussion_replies-author_id,column,naive_edit,62,0,0,62
spark,COL-discussion_replies-author_id,column,lexical,62,19,6,43
spark,COL-discussion_replies-author_id,column,static,62,62,0,0
spark,COL-discussion_replies-author_id,column,uce,62,62,0,0
spark,COL-discussion_replies-content,column,naive_edit,62,0,0,62
spark,COL-discussion_replies-content,column,lexical,62,16,9,46
spark,COL-discussion_replies-content,column,static,62,62,0,0
spark,COL-discussion_replies-content,column,uce,62,62,0,0
spark,TBL-enrollments,table,naive_edit,25,0,0,25
spark,TBL-enrollments,table,lexical,25,18,1,7
spark,TBL-enrollments,table,static,25,25,0,0
spark,TBL-enrollments,table,uce,25,25,39,0
spark,COL-enrollments-course_id,column,naive_edit,22,0,0,22
spark,COL-enrollments-course_id,column,lexical,22,16,6,6
spark,COL-enrollments-course_id,column,static,22,22,0,0
spark,COL-enrollments-course_id,column,uce,22,22,41,0
spark,COL-enrollments-enrolled_at,column,naive_edit,7,0,0,7
spark,COL-enrollments-enrolled_at,column,lexical,7,1,6,6
spark,COL-enrollments-enrolled_at,column,static,7,7,0,0
spark,COL-enrollments-enrolled_at,column,uce,7,7,56,0
spark,TBL-profiles,table,naive_edit,62,0,0,62
spark,TBL-profiles,table,lexical,62,9,0,53
spark,TBL-profiles,table,static,62,62,0,0
spark,TBL-profiles,table,uce,62,62,1,0
spark,COL-profiles-created_at,column,naive_edit,62,0,0,62
spark,COL-profiles-created_at,column,lexical,62,16,9,46
spark,COL-profiles-created_at,column,static,62,62,0,0
spark,COL-profiles-created_at,column,uce,62,62,0,0
spark,COL-profiles-first_name,column,naive_edit,62,0,0,62
spark,COL-profiles-first_name,column,lexical,62,17,8,45
spark,COL-profiles-first_name,column,static,62,62,0,0
spark,COL-profiles-first_name,column,uce,62,62,0,0
spark,TBL-schools,table,naive_edit,62,0,0,62
spark,TBL-schools,table,lexical,62,15,0,47
spark,TBL-schools,table,static,62,62,0,0
spark,TBL-schools,table,uce,62,62,1,0
spark,COL-schools-created_at,column,naive_edit,62,0,0,62
spark,COL-schools-created_at,column,lexical,62,17,8,45
spark,COL-schools-created_at,column,static,62,62,0,0
spark,COL-schools-created_at,column,uce,62,62,0,0
spark,COL-schools-dean,column,naive_edit,62,0,0,62
spark,COL-schools-dean,column,lexical,62,15,1,47
spark,COL-schools-dean,column,static,62,62,0,0
spark,COL-schools-dean,column,uce,62,62,1,0
spark,TBL-user_roles,table,naive_edit,39,0,0,39
spark,TBL-user_roles,table,lexical,39,22,3,17
spark,TBL-user_roles,table,static,39,39,0,0
spark,TBL-user_roles,table,uce,39,39,24,0
spark,COL-user_roles-created_at,column,naive_edit,0,0,0,0
spark,COL-user_roles-created_at,column,lexical,0,0,5,0
spark,COL-user_roles-created_at,column,static,0,0,0,0
spark,COL-user_roles-created_at,column,uce,0,0,62,0
spark,COL-user_roles-id,column,naive_edit,38,0,0,38
spark,COL-user_roles-id,column,lexical,38,15,10,23
spark,COL-user_roles-id,column,static,38,38,0,0
spark,COL-user_roles-id,column,uce,38,38,25,0
spark,TBL-waitlist,table,naive_edit,5,0,0,5
spark,TBL-waitlist,table,lexical,5,2,1,3
spark,TBL-waitlist,table,static,5,5,0,0
spark,TBL-waitlist,table,uce,5,5,58,0
spark,COL-waitlist-course_id,column,naive_edit,5,0,0,5
spark,COL-waitlist-course_id,column,lexical,5,0,5,5
spark,COL-waitlist-course_id,column,static,5,5,0,0
spark,COL-waitlist-course_id,column,uce,5,5,58,0
spark,COL-waitlist-created_at,column,naive_edit,5,0,0,5
spark,COL-waitlist-created_at,column,lexical,5,0,5,5
spark,COL-waitlist-created_at,column,static,5,5,0,0
spark,COL-waitlist-created_at,column,uce,5,5,57,0
spark,FIL-src_lib_utils.ts,file,naive_edit,85,1,0,84
spark,FIL-src_lib_utils.ts,file,lexical,85,25,0,60
spark,FIL-src_lib_utils.ts,file,static,85,85,0,0
spark,FIL-src_lib_utils.ts,file,uce,85,85,0,0
spark,FIL-src_components_ui_button.tsx,file,naive_edit,35,1,0,34
spark,FIL-src_components_ui_button.tsx,file,lexical,35,23,2,12
spark,FIL-src_components_ui_button.tsx,file,static,35,35,0,0
spark,FIL-src_components_ui_button.tsx,file,uce,35,35,0,0
spark,FIL-src_hooks_useAuth.ts,file,naive_edit,35,1,0,34
spark,FIL-src_hooks_useAuth.ts,file,lexical,35,25,0,10
spark,FIL-src_hooks_useAuth.ts,file,static,35,35,0,0
spark,FIL-src_hooks_useAuth.ts,file,uce,35,35,0,0
spark,FIL-src_integrations_supabase_client.ts,file,naive_edit,60,1,0,59
spark,FIL-src_integrations_supabase_client.ts,file,lexical,60,23,2,37
spark,FIL-src_integrations_supabase_client.ts,file,static,60,60,0,0
spark,FIL-src_integrations_supabase_client.ts,file,uce,60,60,0,0
spark,FIL-src_components_layout_MainLayout.tsx,file,naive_edit,20,1,0,19
spark,FIL-src_components_layout_MainLayout.tsx,file,lexical,20,18,0,2
spark,FIL-src_components_layout_MainLayout.tsx,file,static,20,20,0,0
spark,FIL-src_components_layout_MainLayout.tsx,file,uce,20,20,0,0
spark,FIL-src_hooks_useCourses.ts,file,naive_edit,19,1,0,18
spark,FIL-src_hooks_useCourses.ts,file,lexical,19,17,0,2
spark,FIL-src_hooks_useCourses.ts,file,static,19,19,0,0
spark,FIL-src_hooks_useCourses.ts,file,uce,19,19,0,0
